id,category,cats,n_parcels,lat,lon,units,address,on_arterial,d_commercial,corridor_200,corridor_300,corridor_400
261,apartment,apartment,1,41.89351884,-87.79499578,,415 N OAK PARK AVE,1,1013.2,1,1,1
262,apartment,apartment,1,41.8933821,-87.79505393,,411 N OAK PARK AVE,1,963.2,1,1,1
263,apartment,apartment,1,41.89325125,-87.79506622,,407 N OAK PARK AVE,1,915.5,1,1,1
264,apartment,apartment,1,41.89294185,-87.79502032,,341 N OAK PARK AVE,1,803.1,1,1,1
265,apartment,apartment,1,41.891608,-87.79541159,,301 N OAK PARK AVE,1,330.1,1,1,1
266,apartment,apartment,1,41.89418269,-87.79533613,,811 CHICAGO AVE,1,1256.6,1,1,1
267,apartment,apartment,1,41.89419545,-87.79502157,,435 N OAK PARK AVE,1,1259.3,1,1,1
268,apartment,apartment,1,41.89283114,-87.80412567,,325 N MAPLE AVE,0,191.2,1,1,1
269,apartment,apartment,1,41.89269735,-87.80412296,,323 N MAPLE AVE,0,189.6,1,1,1
270,apartment,apartment,1,41.89233494,-87.80410716,,315 N MAPLE AVE,0,200.6,0,1,1
271,apartment,apartment,1,41.89194408,-87.80456154,,1140 ERIE ST,1,81.1,1,1,1
272,apartment,apartment,1,41.89254747,-87.8036842,,314 N MAPLE AVE,0,315.8,0,0,1
273,apartment,apartment,1,41.89287629,-87.80327999,,1111 SUPERIOR ST,0,410.4,0,0,0
274,apartment,apartment,1,41.89256446,-87.80308268,,317 N MARION ST,0,475.2,0,0,0
275,apartment,apartment,1,41.89248188,-87.80307574,,315 N MARION ST,0,481.2,0,0,0
276,apartment,apartment,1,41.89216301,-87.80305931,,305 N MARION ST,0,486.5,0,0,0
277,apartment,apartment,1,41.89267958,-87.80254703,,320 N MARION ST,0,468.8,0,0,0
278,apartment,apartment,1,41.89293813,-87.80212899,,1035 SUPERIOR ST 10,0,371.3,0,0,1
